infra_list
Generator
Solar Panels
National Grid
Incinerator
No Electricity
Not set
Airtel
Tigo
Vodacom
Zantel
Piped Water into Health Facility
Piped Water to Yard/Plot
Tube Well or Borehole
Protected Spring
Rainwater Harvesting
Protected Dug Well
Public Tap or Standpipe
Flush Toilet Piped into Septic Tank
Ventilated Improved Pit Latrine (VIP)
Flush Toilet Piped into Sewer System
Pit Latrine With Slab
No Toilet
Composting Toilet
Flush/Pour Flush to Pit Latrine
Burning Pit
Placenta Pit
Burning Chamber
Others
